order_index,variable_df11,variable_df8,table_df8,var_in_df8,coded_na_values_df8,order_df8_tables,variable_df9,table_df9,var_in_df9,coded_na_values_df9,order_df9_tables,code_table_df9,code_col_df9,label_col_df9,variable_df10,table_df10,long_format_df10,var_in_df10,df10_removed,df10_merged,df10_aggregated_var,df10_aggregated_var_df11_mergedvars,CodedVar,varCodesValues
13,art_chron_lastbuildphase,lstbuild,v201,TRUE,-1,1009,lastBuildPhase,description,TRUE,-1,2008,Codes_lastBuildPhase,code,description,,,,FALSE,TRUE,FALSE,FALSE,,TRUE,"0=insufficient basis for judgement, or Patlachique; 1=Tzacualli; 2=Miccaotli; 3=Tlamimilolpa; 4=Xolalpan; 5=Metepec; 6=Oxtoticpac"
14,arch_burials,burials,v201,TRUE,-1,1010,burials,description,TRUE,-1,2003,Codes_burials,code,description,burials,artifactTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=none observed; 1=possibly present; evidence destroyed by looting; 2=present, looted; collection not mainly grave material; 3=present, not looted; collection not mainly grave material; 4=present, looted; collection mainly grave material; 5=present, not looted; collection mainly grave material; 6=present, looted; collection entirely grave material; 7=present, not looted; collection entirely grave material; 8=burials possibly present; 9=other"
15,arch_midden,midden,v201,TRUE,-1,1011,midden,description,TRUE,-1,2002,Codes_midden,code,description,midden,artifactTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=not observed; 1=possibly; 2=probably; 3=definitely
16,arch_mat_stonequant,qntstone,v201,TRUE,-1,1012,stoneQuant,archMaterial,TRUE,-1,4002,Codes_stoneQuant,code,description,stoneQuant,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=absent; 1=very sparse; 2=sparse to very sparse; 3=sparse; 4=sparse to moderate; 5=moderate; 6=moderate to abundant; 7=abundant; 8=abundant to very abundant; 9=very abundant
17,arch_mat_stonedist,dststone,v201,TRUE,-1,1013,stoneDist,archMaterial,TRUE,-1,4003,Codes_stoneDist,code,description,stoneDist,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,1=relatively uniform; 2=localized; 3=variable; 4=heavily modified due to clearing
18,arch_mat_cutstone,cutstone,v202,TRUE,-1,2002,stoneCut,archMaterial,TRUE,-1,4004,Codes_materials,code,description,,,,FALSE,TRUE,FALSE,FALSE,,TRUE,0=none observed; 1=very sparse; 2=sparse; 3=present in unspecified quantity; 4=moderate; 5=abundant; 6=very abundant
19,arch_mat_lajas,lajas,v202,TRUE,-1,2003,lajas,archMaterial,TRUE,-1,4005,Codes_materials,code,description,lajas,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=none observed; 1=very sparse; 2=sparse; 3=present in unspecified quantity; 4=moderate; 5=abundant; 6=very abundant
20,arch_mat_tepetate,tepetate,v202,TRUE,-1,2004,tepetate,archMaterial,TRUE,-1,4006,Codes_materials,code,description,tepetate,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=none observed; 1=very sparse; 2=sparse; 3=present in unspecified quantity; 4=moderate; 5=abundant; 6=very abundant
21,arch_mat_adobe,adobe,v202,TRUE,-1,2005,adobe,archMaterial,TRUE,-1,4007,Codes_materials,code,description,adobe,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=none observed; 1=very sparse; 2=sparse; 3=present in unspecified quantity; 4=moderate; 5=abundant; 6=very abundant
22,arch_mat_xalnene,xalnene,v202,TRUE,-1,2006,xalnene,archMaterial,TRUE,-1,4008,Codes_materials,code,description,xalnene,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=none observed; 1=very sparse; 2=sparse; 3=present in unspecified quantity; 4=moderate; 5=abundant; 6=very abundant
23,arch_mat_cascajo,cascajo,v202,TRUE,-1,2007,cascajo,archMaterial,TRUE,-1,4009,Codes_materials,code,description,cascajo,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=none observed; 1=very sparse; 2=sparse; 3=present in unspecified quantity; 4=moderate; 5=abundant; 6=very abundant
24,arch_mat_concrete,concrete,v202,TRUE,-1,2008,concrete,archMaterial,TRUE,-1,4010,Codes_materials,code,description,concrete,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=none observed; 1=very sparse; 2=sparse; 3=present in unspecified quantity; 4=moderate; 5=abundant; 6=very abundant
25,arch_mat_plasterunpaint,plstrunp,v202,TRUE,-1,2009,plasterUnpaint,archMaterial,TRUE,-1,4012,Codes_materials,code,description,plasterUnpaint,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=none observed; 1=very sparse; 2=sparse; 3=present in unspecified quantity; 4=moderate; 5=abundant; 6=very abundant
26,arch_mat_plasterpaint,plstrpnt,v202,TRUE,-1,2010,plasterPaint,archMaterial,TRUE,-1,4011,Codes_materials,code,description,plasterPaint,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=none observed; 1=very sparse; 2=sparse; 3=present in unspecified quantity; 4=moderate; 5=abundant; 6=very abundant
27,arch_mat_burntclay,burnclay,v202,TRUE,-1,2011,burntClay,archMaterial,TRUE,-1,4013,Codes_materials,code,description,burntClay,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=none observed; 1=very sparse; 2=sparse; 3=present in unspecified quantity; 4=moderate; 5=abundant; 6=very abundant
28,arch_mat_almena,almena,v202,TRUE,-1,2012,almena,archMaterial,TRUE,-1,4014,,,,almena,artifactTable,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,
29,arch_mat_burnedstruct,brndstrc,v202,TRUE,-1,2013,burnedStruct,archMaterial,TRUE,-1,4015,Codes_burnedStruct,code,description,burnedStruct,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=absent; 1=present; 2=strong; 3=possible
30,arch_situ_floors,floors,v203,TRUE,-1,3002,floors,archMaterial,TRUE,-1,4016,Codes_archFeatures,code,description,floors,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=not observed; 1=problematic object that could be part of floor; 2=possible floor, evidence indirect or ambiguous; 3=one floor; 4=two or three floors; 5=four or more floors; 6=floor present, count unspecified; 9=other"
31,arch_situ_walls,walls,v203,TRUE,-1,3003,walls,archMaterial,TRUE,-1,4017,Codes_archFeatures,code,description,walls,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=not observed; 1=problematic object that could be part of floor; 2=possible floor, evidence indirect or ambiguous; 3=one floor; 4=two or three floors; 5=four or more floors; 6=floor present, count unspecified; 9=other"
32,arch_situ_drains,drains,v203,TRUE,-1,3004,drains,archMaterial,TRUE,-1,4018,Codes_archFeatures,code,description,drainSitu,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=not observed; 1=problematic object that could be part of floor; 2=possible floor, evidence indirect or ambiguous; 3=one floor; 4=two or three floors; 5=four or more floors; 6=floor present, count unspecified; 9=other"
33,arch_situ_wallfixture,wallfixt,v203,TRUE,-1,3005,wallFixtures,archMaterial,TRUE,-1,4019,Codes_archFeatures,code,description,wallFixSitu,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=not observed; 1=problematic object that could be part of floor; 2=possible floor, evidence indirect or ambiguous; 3=one floor; 4=two or three floors; 5=four or more floors; 6=floor present, count unspecified; 9=other"
34,arch_situ_murals,murals,v203,TRUE,-1,3006,murals,archMaterial,TRUE,-1,4020,Codes_archFeatures,code,description,murals,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=not observed; 1=problematic object that could be part of floor; 2=possible floor, evidence indirect or ambiguous; 3=one floor; 4=two or three floors; 5=four or more floors; 6=floor present, count unspecified; 9=other"
35,arch_situ_columns,COLUMNS,v203,TRUE,-1,3007,columns,archMaterial,TRUE,-1,4021,Codes_archFeatures,code,description,columns,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=not observed; 1=problematic object that could be part of floor; 2=possible floor, evidence indirect or ambiguous; 3=one floor; 4=two or three floors; 5=four or more floors; 6=floor present, count unspecified; 9=other"
36,arch_situ_taludes,taludes,v203,TRUE,-1,3008,taludes,archMaterial,TRUE,-1,4022,Codes_archFeatures,code,description,taludes,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=not observed; 1=problematic object that could be part of floor; 2=possible floor, evidence indirect or ambiguous; 3=one floor; 4=two or three floors; 5=four or more floors; 6=floor present, count unspecified; 9=other"
37,arch_situ_tableros,tableros,v203,TRUE,-1,3009,tableros,archMaterial,TRUE,-1,4023,Codes_archFeatures,code,description,tableros,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=not observed; 1=problematic object that could be part of floor; 2=possible floor, evidence indirect or ambiguous; 3=one floor; 4=two or three floors; 5=four or more floors; 6=floor present, count unspecified; 9=other"
38,arch_mat_floormaterials,situflrs,v203,TRUE,-1,3010,floorMaterial,archMaterial,TRUE,-1,4024,Codes_FloorMat,code,description,floorMaterial,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"1=floors present, materials unspecified; 2=earth only; 3=concrete only; 4=concrete, plastered at least in part; 5=some floors of earth and some of unplastered concrete; 6=some of earth, some of concrete with plaster; 7=crushed tezontli; 8=cobble paving; 9=other, including floors with red plaster"
39,arch_mat_wallcore_stone,taludstn,v203,TRUE,-1,3011,wallCoreStone,archMaterial,TRUE,-1,4025,Codes_wallCoreStone,code,description,wallCoreStone,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"0=walls present, but no stone observed in them; 1=small stones; 2=medium stones; 3=stones present, unspecified size; 4=stones of mixed sizes; 5=large stones"
40,arch_mat_wallcore_other,wallmatr,v203,TRUE,,3012,wallCoreOthMat,archMaterial,TRUE,,4026,Codes_wallCoreOther,code,description,wallCoreOthMat,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE," -1=no walls, or walls but no data on materials present in wall core; 0=walls present but nothing except stone and/or tezontli observed; 1=tepetate is the only recorded additional material; 2=adobes present, plus possibly other materials; 3=other, including xalnene or tepetate and xalnene, but not adobes"
41,arch_mat_wallfacing,wallface,v203,TRUE,-1,3013,wallFacing,archMaterial,TRUE,-1,4027,Codes_wallFacing,code,description,wallFacing,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=apparently had no facing; 1=concrete; 2=concrete plus plaster; 3=mud; 4=plaster on mud; 5=facing material lost or uncertain; 6=concrete plus painted plaster; 9=other
42,art_chron_intrusivesherd,intrushd,v204,TRUE,-1,4002,intrusiveSherd,description,TRUE,-1,2010,Codes_intrusiveSherd,code,description,intrusiveSherd,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,0=isolated site; 1=average; 2=probably considerable; 3=probably primarily intrusive material; 9=other
43,arch_situ_height,height,v204,TRUE,-1,4003,height,description,TRUE,-1,2004,,,,height,artifactTable,TRUE,TRUE,FALSE,FALSE,FALSE,,FALSE,0-98=height to nearest multiple of 10cm; 99=over 9.85m high
44,arch_archinterp1_pmic,pmicarc1,v204,TRUE,-1,4004,arch1PMic,archInterp,TRUE,-1,5006,Codes_ArchInterpPrim,code,description,arch1PMic,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"1=room group; 2=room group; 3=casa humilde; 4=apartment compound; 5=temple base (incl. platforms & multi-tiered platforms); 6=pyramid (more than ca. 10m high); 7=simple platform; 8=platform with other structures on it; 9=platform with other structures on it; 10=platform with other structures on it; 11=platform in plaza (momoztli); 12=plaza; 13=free-standing wall or segment of wall; 14=access-way (alley, street, avenue, etc.); 15=avenue divider or possible avenue divider; 16=avenue divider or possible avenue divider; 17=cemetery; 18=dam; 19=occupation without durable structures; 20=probably not occupied or utilized in this period; 21=cave; 99=other"
45,arch_archinterp1_mctl,mctlarc1,v204,TRUE,-1,4005,arch1McTl,archInterp,TRUE,-1,5007,Codes_ArchInterpPrim,code,description,arch1McTl,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"1=room group; 2=room group; 3=casa humilde; 4=apartment compound; 5=temple base (incl. platforms & multi-tiered platforms); 6=pyramid (more than ca. 10m high); 7=simple platform; 8=platform with other structures on it; 9=platform with other structures on it; 10=platform with other structures on it; 11=platform in plaza (momoztli); 12=plaza; 13=free-standing wall or segment of wall; 14=access-way (alley, street, avenue, etc.); 15=avenue divider or possible avenue divider; 16=avenue divider or possible avenue divider; 17=cemetery; 18=dam; 19=occupation without durable structures; 20=probably not occupied or utilized in this period; 21=cave; 99=other"
46,arch_archinterp1_xlme,xlmearc1,v204,TRUE,-1,4006,arch1XlMe,archInterp,TRUE,-1,5008,Codes_ArchInterpPrim,code,description,arch1XlMe,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"1=room group; 2=room group; 3=casa humilde; 4=apartment compound; 5=temple base (incl. platforms & multi-tiered platforms); 6=pyramid (more than ca. 10m high); 7=simple platform; 8=platform with other structures on it; 9=platform with other structures on it; 10=platform with other structures on it; 11=platform in plaza (momoztli); 12=plaza; 13=free-standing wall or segment of wall; 14=access-way (alley, street, avenue, etc.); 15=avenue divider or possible avenue divider; 16=avenue divider or possible avenue divider; 17=cemetery; 18=dam; 19=occupation without durable structures; 20=probably not occupied or utilized in this period; 21=cave; 99=other"
47,arch_archinterp1_oxto,oxtoarc1,v204,TRUE,-1,4007,arch1Oxto,archInterp,TRUE,-1,5009,Codes_ArchInterpPrim,code,description,arch1Oxto,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"1=room group; 2=room group; 3=casa humilde; 4=apartment compound; 5=temple base (incl. platforms & multi-tiered platforms); 6=pyramid (more than ca. 10m high); 7=simple platform; 8=platform with other structures on it; 9=platform with other structures on it; 10=platform with other structures on it; 11=platform in plaza (momoztli); 12=plaza; 13=free-standing wall or segment of wall; 14=access-way (alley, street, avenue, etc.); 15=avenue divider or possible avenue divider; 16=avenue divider or possible avenue divider; 17=cemetery; 18=dam; 19=occupation without durable structures; 20=probably not occupied or utilized in this period; 21=cave; 99=other"
48,arch_archinterp2_pmic,pmicarc2,v204,TRUE,,4008,arch2PMic,archInterp,TRUE,,5010,Codes_ArchInterpAltern,code,description,arch2PMic,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE," -1=primary interpretation is the best assessment of a very ambiguous situation; 1=room group; 2=room group; 3=casa humilde; 4=apartment compound; 5=temple base (incl. platforms & multi-tiered platforms); 6=pyramid (more than ca. 10m high); 7=simple platform; 8=platform with other structures on it; 9=platform with other structures on it; 10=platform with other structures on it; 11=platform in plaza (momoztli); 12=plaza; 13=free-standing wall or segment of wall; 14=access-way (alley, street, avenue, etc.); 15=avenue divider or possible avenue divider; 16=avenue divider or possible avenue divider; 17=cemetery; 18=dam; 19=occupation without durable structures; 20=probably not occupied or utilized in this period; 21=cave; 77=no plausible alternative to the primary interpretation; 88=primary interpretation is the best assessment of a very ambiguous situation; 99=other"
49,arch_archinterp2_mctl,mctlarc2,v204,TRUE,,4009,arch2McTl,archInterp,TRUE,,5011,Codes_ArchInterpAltern,code,description,arch2McTl,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE," -1=primary interpretation is the best assessment of a very ambiguous situation; 1=room group; 2=room group; 3=casa humilde; 4=apartment compound; 5=temple base (incl. platforms & multi-tiered platforms); 6=pyramid (more than ca. 10m high); 7=simple platform; 8=platform with other structures on it; 9=platform with other structures on it; 10=platform with other structures on it; 11=platform in plaza (momoztli); 12=plaza; 13=free-standing wall or segment of wall; 14=access-way (alley, street, avenue, etc.); 15=avenue divider or possible avenue divider; 16=avenue divider or possible avenue divider; 17=cemetery; 18=dam; 19=occupation without durable structures; 20=probably not occupied or utilized in this period; 21=cave; 77=no plausible alternative to the primary interpretation; 88=primary interpretation is the best assessment of a very ambiguous situation; 99=other"
50,arch_archinterp2_xlme,xlmearc2,v204,TRUE,,4010,arch2XlMe,archInterp,TRUE,,5012,Codes_ArchInterpAltern,code,description,arch2XlMe,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE," -1=primary interpretation is the best assessment of a very ambiguous situation; 1=room group; 2=room group; 3=casa humilde; 4=apartment compound; 5=temple base (incl. platforms & multi-tiered platforms); 6=pyramid (more than ca. 10m high); 7=simple platform; 8=platform with other structures on it; 9=platform with other structures on it; 10=platform with other structures on it; 11=platform in plaza (momoztli); 12=plaza; 13=free-standing wall or segment of wall; 14=access-way (alley, street, avenue, etc.); 15=avenue divider or possible avenue divider; 16=avenue divider or possible avenue divider; 17=cemetery; 18=dam; 19=occupation without durable structures; 20=probably not occupied or utilized in this period; 21=cave; 77=no plausible alternative to the primary interpretation; 88=primary interpretation is the best assessment of a very ambiguous situation; 99=other"
51,arch_archinterp2_oxto,oxtoarc2,v204,TRUE,,4011,arch2Oxto,archInterp,TRUE,,5013,Codes_ArchInterpAltern,code,description,arch2Oxto,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE," -1=primary interpretation is the best assessment of a very ambiguous situation; 1=room group; 2=room group; 3=casa humilde; 4=apartment compound; 5=temple base (incl. platforms & multi-tiered platforms); 6=pyramid (more than ca. 10m high); 7=simple platform; 8=platform with other structures on it; 9=platform with other structures on it; 10=platform with other structures on it; 11=platform in plaza (momoztli); 12=plaza; 13=free-standing wall or segment of wall; 14=access-way (alley, street, avenue, etc.); 15=avenue divider or possible avenue divider; 16=avenue divider or possible avenue divider; 17=cemetery; 18=dam; 19=occupation without durable structures; 20=probably not occupied or utilized in this period; 21=cave; 77=no plausible alternative to the primary interpretation; 88=primary interpretation is the best assessment of a very ambiguous situation; 99=other"
52,arch_constructqual,qualcnst,v204,TRUE,-1,4012,constructQual,archInterp,TRUE,-1,5003,Codes_ConstructQual,code,description,constructQual,codeTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE," 0=probably only perishable materials; 1=very simple or below average; 2=ordinary, nothing special noted; 3=elaborate or very fine"
53,arch_funcinterp1_pmic,pmicfnc1,v204,TRUE,-1,4013,func1PMic,archInterp,TRUE,-1,5014,Codes_FuncInterpPrim,code,description,func1PMic,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"1=low status residential, no obvious occupational specialization; 2=intermediate status residence; 3=residence of uncertain status; 4=high status residence; 5=high status residence; 6=altar; 7=temple platform; 8=temple in residential unit; 9=temple; 10=temple; 11=temple; 12=temple; 13=temple; 14=pyramid temple (over 10 m high); 15=possible temple for foreign gods; 16=probably temple, hard to fit into any of the above categories; 17=""civic"" structure, but not a temple; 18=""civic"" structure, but not a temple; 19=""civic"" structure, but not a temple; 20=""civic"" structure, but not a temple; 21=""civic"" structure, but not a temple; 22=market or part of a market; 23=puesto; 24=obsidian workshop; 25=pottery workshop; 26=other type of workshop or craft production area; 27=momoztli (platform in plaza); 28=plaza; 29=ball court; 30=possible ball court; 31=street or avenue; 32=street or avenue; 33=street or avenue; 34=street or avenue; 35=avenue divider; 36=dam; 37=wall or segment of a wall; 38=cemetery; 39=cultivated field; 40=uncultivated open area; 41=unoccupied, not clear if cultivated or not; 42=residential workshop; 43=platform of probable religious significance; 99=other"
54,arch_funcinterp1_mctl,mctlfnc1,v205,TRUE,-1,5002,func1McTl,archInterp,TRUE,-1,5015,Codes_FuncInterpPrim,code,description,func1McTl,interpTable,TRUE,TRUE,FALSE,FALSE,FALSE,,TRUE,"1=low status residential, no obvious occupational specialization; 2=intermediate status residence; 3=residence of uncertain status; 4=high status residence; 5=high status residence; 6=altar; 7=temple platform; 8=temple in residential unit; 9=temple; 10=temple; 11=temple; 12=temple; 13=temple; 14=pyramid temple (over 10 m high); 15=possible temple for foreign gods; 16=probably temple, hard to fit into any of the above categories; 17=""civic"" structure, but not a temple; 18=""civic"" structure, but not a temple; 19=""civic"" structure, but not a temple; 20=""civic"" structure, but not a temple; 21=""civic"" structure, but not a temple; 22=market or part of a market; 23=puesto; 24=obsidian workshop; 25=pottery workshop; 26=other type of workshop or craft production area; 27=momoztli (platform in plaza); 28=plaza; 29=ball court; 30=possible ball court; 31=street or avenue; 32=street or avenue; 33=street or avenue; 34=street or avenue; 35=avenue divider; 36=dam; 37=wall or segment of a wall; 38=cemetery; 39=cultivated field; 40=uncultivated open area; 41=unoccupied, not clear if cultivated or not; 42=residential workshop; 43=platform of probable religious significance; 99=other"
